_title_norm,title,num_editions,edition_list
cryptography and network security,Cryptography and Network Security,4,['4th' '4th ed.' '2nd ed.' '1st ed.']
data and computer communications,Data and Computer Communications,3,['5th' '7th' '8th']
data communication and networking,Data Communication and Networking,4,['1st' '3rd' '4th' '1st ed.']
data communications & computer networks,Data Communications & Computer Networks,3,['7th pri.' '1st' '2nd ed.']
data communications & networking,Data Communications & Networking,2,['1st ed.' '1st']
data communications and networking,Data Communications and Networking,2,['3ed.' '3rd']
data mining,Data Mining,4,['1st ed.' '10th' '1st' '10th rep.']
data mining techniques,Data Mining Techniques,2,['2nd rep.' '4th rep.']
data mining: concepts & techniques,Data Mining: concepts & techniques,2,['2nd' '2nd ed.']
data mining: concepts and techniques,Data mining: concepts and techniques,2,['2nd' '2nd ed.']
data mining: introductory & advanced topic,Data Mining: Introductory & Advanced Topic,2,['1st ed.' '']
data structures,Data Structures,2,['19th rep.' '1st ed.']
data structures and algorithms,Data structures and algorithms,5,['2nd ed.' '' '9th rep.' '6th rev ed' '1st ed.']
data structures and algorithms made easy in java,Data structures and algorithms made easy in Java,2,['1st ed.' '']
data structures using c,Data structures using C,2,['1st ed.' '7th ed.']
data warehousing in the real world,Data Warehousing in the Real World,2,['13th rep.' '3rd rep.']
database management system,Database management system,2,['1st ed.' '1st']
database management system & design,Database Management System & Design,2,['1st' '2nd']
database management systems,Database Management Systems,5,['13th rep.' '1st' '16th rep.' '3rd ed.' '3rd']
database system concept,Database System Concept,3,['1st' '5th' '5th ed.']
database system concepts,Database System Concepts,4,['3rd' '4th' '6th' '1st ed.']
design aids in soil  mechanics & foundation engg..,Design Aids in Soil  Mechanics & Foundation Engg..,2,['1st ed.' '']
design data,Design data,3,['1st ed.' '' '1st']
design of analog cmos integrated circuits,Design of Analog CMOS Integrated Circuits,2,['1st ed.' '']
design of machine elements,Design of Machine Elements,9,"['1st ed.' '1st' '2nd' '7th' '4th ed.' '8th  ed.' '8th ed.' '2nd ed.'
 '3nd ed.']"
design of steel structures,Design of Steel Structures,3,['3rd ed.' '5th ed. rep.' '1st ed.']
design with pic micro controllers,Design with PIC Micro controllers,4,['1st' '2nd ed.' '7th' '1st ed.']
design with pic microcontrollers,Design with PIC Microcontrollers,3,['8th rep.' '7th' '2nd ed.']
differential equations,Differential Equations,2,['3rd ed.' '']
digital communication,Digital Communication,5,['1st' '1st ed.' '2nd ed.' '3rd' '3rd ed.']
digital communication techniques,Digital Communication Techniques,3,['2nd pri.' '1st ed.' '']
