_title_norm,title,num_editions,edition_list
engineering mechanics: statics and dynamic,Engineering Mechanics: Statics and Dynamic,4,['13 rep.' '13th ed.' '1st ed.' '']
engineering mathematics,Engineering Mathematics,4,['2nd' '1st' '1st ed.' '3rd']
electronic communication systems,Electronic Communication Systems,3,['4th' '5th' '5 ed.']
industrial engineering,Industrial engineering,3,['' '1st' '3rev.ed.']
business statistics,Business Statistics,3,['rep.' '' '5th ed.']
experimental methods for engineers,Experimental Methods for engineers,3,['6th' '1st ed.' '7th ed.']
basic shop practicals in electrical engineering,Basic Shop Practicals in Electrical Engineering,3,['1st' '' '9th']
material science and engineering,Material Science and Engineering,3,['4th' 'rep.' '1st ed.']
theory and applications of automatic controls,Theory and Applications of Automatic Controls,3,['1st ed.' '1st' '2nd ed.']
information technology the breaking wave,Information Technology The Breaking Wave,3,['12th rep.' '15th rep.' '14th rep.']
boundary layer theory,Boundary Layer Theory,3,['8th rev. ed.' '1st ed.' '']
business mathematics,Business Mathematics,3,['1st' '1st ed.' '11th ed.']
electrical science,Electrical science,3,['1st' '' '1st ed.']
measurement systems,Measurement Systems,3,['4th ed.' '5th ed.' '5th']
electronic circuit analysis design,Electronic Circuit Analysis Design,3,['2nd ed.' '2nd' '3rd']
instrumentation measurement & analysis,Instrumentation Measurement & Analysis,3,['2nd' 'ii' '3rd ed.']
mechanics of structures vol.2,Mechanics of Structures Vol.2,3,['18th ed.' '1st ed.' '9th ed.']
business correspondence & report writing,Business Correspondence & Report Writing,3,['1st' '3rd ed.' '1st ed.']
electricity and magnetism,Electricity and magnetism,3,['1st ed.' '' '11th rep']
organic chemistry,Organic Chemistry,3,['15th rev' '1st ed.' '6th']
electromagnetic waves,Electromagnetic Waves,3,['1st' '1st ed.' '']
basic mechanical engineering,Basic mechanical Engineering,3,['4th rep.' '4th ed.' '1st ed.']
"neural networks,fuzzy logic and genetic algorithms","Neural Networks,Fuzzy Logic and Genetic Algorithms",3,['1st ed.' '1st' '']
electronic devices & circuits,Electronic Devices & Circuits,3,['2nd' '1st ed.' '2nd ed.']
embedded systems: architecture programming & design,Embedded Systems: Architecture Programming & Design,3,['1st' '1st ed.' '']
analog & digital communication,Analog & Digital Communication,3,['isr' '1st' '2nd']
analog integrated circuit design,Analog Integrated Circuit Design,3,['1st ed.' 'rep.' '']
management information system,Management information system,3,['1st' '' '2nd']
engineering materials,Engineering Materials,3,['5th' '25th ed.' '1st ed.']
antennas,Antennas,3,['7th' '2nd' '3rd']
antennas and wave propagation,Antennas and Wave Propagation,3,['4th ed.' '4' '1st ed.']
enterprise resource planning,Enterprise Resource Planning,3,['1st ed.' '2nd ed.' '']
manufacturing process,Manufacturing Process,3,['2nd ed.' '5th rev. ed.' '1st ed.']
manufacturing science,Manufacturing science,3,['1st ed.' '1st' '2nd ed.']
internet & web technology,Internet & Web Technology,3,['1st' '1st ed.' '']
power electronics and its applications,Power Electronics and its Applications,3,['1st' '1st ed.' '']
personnel management,Personnel Management,3,['3rd' '6th' '2nd ed.']
thermodynamics,Thermodynamics,3,['1st' '5th' '1st ed.']
theory of machines and mechanisms,Theory of Machines and Mechanisms,3,['25 ed.' '25rep.' '1st ed.']
basic electronics,Basic Electronics,3,['10th ed.' '1st ed.' '2nd ed.']
elements of mechanical engineering,Elements of Mechanical Engineering,3,['1st' '1st ed.' '']
essential of management,Essential of Management,3,['4th' '5th' '6th']
