_title_norm,title,quantity
discrete math.for comp.scientists & mathematician,Discrete Math.for Comp.Scientists & Mathematician,30
elements of earthquake engineering,Elements of earthquake engineering,30
thermal engineering: in s.i. unit,Thermal Engineering: In S.I. Unit,29
engineering mechanics:statistics &dynamics,Engineering Mechanics:Statistics &Dynamics,29
electronics circuits & analysis,Electronics Circuits & Analysis,29
advanced computer architecture,Advanced Computer Architecture,29
basic electrical and electronics engineering,Basic Electrical and Electronics Engineering,29
modern electric inst. and measurement techniques,Modern Electric Inst. and Measurement Techniques,29
antenna and wave propagation,Antenna and Wave Propagation,29
artificial intelligence: a modern approach,Artificial Intelligence: A modern Approach,29
computer graphics c version,Computer Graphics C Version,29
a course in electrical engineering materials,A Course in Electrical Engineering Materials,29
digital fundamentals,Digital Fundamentals,29
internet &world wide web:how to programing,Internet &World Wide Web:how to programing,29
a text book of engineering chemistry,A Text Book of Engineering Chemistry,29
microwave devices and circuits,Microwave Devices and Circuits,29
the html example book,The HTML Example Book,28
digital communication,Digital Communication,28
programming in c # :: a primer,Programming in C # :: a primer,28
advanced c programming,Advanced C Programming,28
the essence of logic,The Essence of LOGIC,28
surveying vol.1,Surveying Vol.1,28
electrical networks,Electrical Networks,28
discrete mathmatical structure,Discrete mathmatical Structure,28
fundamental of software engineering,Fundamental of software engineering,28
microprocessor architecture with the 8085,Microprocessor Architecture With the 8085,28
modern information retrieval,Modern Information Retrieval,27
tcp/ip networking administrations,TCP/IP Networking Administrations,27
management,Management,27
electronic communications,Electronic communications,27
discrete mathematical structures ......to comp.sc.,Discrete Mathematical Structures ......to Comp.Sc.,27
principles of manufacturing materials and process,Principles of Manufacturing Materials and Process,27
engineering hydrology,Engineering Hydrology,27
antennas and wave propagation,Antennas and Wave Propagation,27
c # 4.0: the complete reference,C # 4.0: The complete reference,27
elements of discrete mathematics,Elements of Discrete Mathematics,26
electrical science,Electrical science,26
quantitative techniques in management,Quantitative Techniques in Management,26
cgi programming with perl,Cgi Programming with Perl,26
laser fundamentals,Laser Fundamentals,26
operations research:theory & application,Operations Research:theory & Application,26
enginnering chemistry,Enginnering Chemistry,26
principles of artificial intelligence,Principles of Artificial Intelligence,26
fundamentals of software engineering,Fundamentals of Software Engineering,26
data warehousing in the real world,Data Warehousing in the Real World,26
elements of strength of materials,Elements of Strength of Materials,26
economics,Economics,26
linux: network administrator's guide,LINUX: Network administrator's guide,26
adaptive control,Adaptive Control,26
renewable energy: power for a sustainable future,Renewable Energy: power for a sustainable future,26
highway engineering,Highway Engineering,26
material science,Material Science,25
introducing systems analysis,Introducing Systems Analysis,25
internetworking with tcp/ip vol.3,Internetworking with TCP/IP Vol.3,25
fluid mechanics & fluid power engineering,Fluid Mechanics & Fluid Power Engineering,25
data structures and program design in c,Data Structures and Program Design in C,25
biology : textbook of class xii,BIology : Textbook of Class XII,25
engineering electromagnetics,Engineering Electromagnetics,25
an embedded software primer,An embedded software primer,25
analog integrated circuit design,Analog Integrated Circuit Design,25
advanced unix : a programmers guide,Advanced Unix : A Programmers Guide,25
manufacturing process and automation,Manufacturing Process and Automation,25
code of practice for concrete road bridges,Code of practice for concrete road bridges,25
thermodynamics and heat engines,Thermodynamics and Heat Engines,25
electromagnetic fields & waves,Electromagnetic fields & Waves,25
object-oriented modeling and design,Object-Oriented Modeling and Design,25
"estimating, costing and valuation","Estimating, Costing and Valuation",25
power system engineering,Power System Engineering,25
java 2 : the complete reference,Java 2 : The Complete Reference,25
business mathematics,Business Mathematics,25
business correspondence and report writing,Business Correspondence and Report Writing,25
energy ecology and environment and society,Energy Ecology and Environment and Society,25
practical english usage,Practical English Usage,25
"standard specifications and codeof practice for road bridges section ii loads and stresses: incorpoating all amendments and errata published upto december, 2013","Standard specifications and codeof practice for road bridges section II loads and stresses: incorpoating all amendments and errata published upto december, 2013",25
enginnering physics,Enginnering Physics,25
a course in electronic and ele. meas. and instrum.,A Course in Electronic and Ele. Meas. and Instrum.,25
advnanced electronic communication systems,Advnanced Electronic Communication Systems,25
principles of control systems,Principles of Control Systems,24
in -line /on line: fundamental of internet,In -Line /On Line: fundamental of Internet,24
in -line /on line fundamentals of internet and world wilde web,In -Line /On Line Fundamentals of Internet and World Wilde Web,24
applied numerical analysis,Applied numerical analysis,24
heat transfer,Heat Transfer,24
distributed operating systems,Distributed Operating systems,24
the unitied software development process,The Unitied Software Development Process,24
monochrome and colour television,Monochrome and Colour Television,24
engineering physics vol. 1,Engineering Physics Vol. 1,24
mobile communications,Mobile Communications,24
introduction to finite elements in engineering,Introduction to Finite Elements in Engineering,24
"applied cryptography: protocols, algorithms & source...","Applied Cryptography: Protocols, algorithms & source...",24
java tutorial: a short course on the basics,JAVA tutorial: A short course on the basics,24
electronic devices & circuits theory,Electronic Devices & Circuits Theory,23
graph theory: modeling applications,Graph Theory: Modeling Applications,23
objective english : for competitive examinations,Objective English : For Competitive Examinations,23
electromagnetics,Electromagnetics,23
mechanics of structures vol.2,Mechanics of Structures Vol.2,23
plain & reinforced concrete vol.2,Plain & Reinforced Concrete Vol.2,23
programming php,Programming PHP,23
introduction to logic,Introduction to LOGIC,23
project planning and control with pert & cpm,Project Planning and Control with PERT & CPM,23
the design of the unix operating system,The Design of the Unix Operating System,23
elements of workshop technology vol.2,Elements of Workshop Technology vol.2,23
laboratory manual on engineering chemistry,Laboratory Manual on Engineering Chemistry,23
fundamentals of deep learning,Fundamentals of Deep Learning,23
op-amps and linear integrated circuits,Op-Amps and Linear Integrated Circuits,22
electromagnetic,Electromagnetic,22
"advanced computer architecture: parallelism, scalability, programmability","Advanced computer architecture: parallelism, scalability, programmability",22
