book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
58,"a first course in digital communications||nguyen, ha h.||1st ed.||cambridge university press||2009",A first course in digital communications,"Nguyen, Ha H.",1st ed.,Cambridge University press,2009,621.382 NGU,1
59,"a first course in digital system design||uyemura, j.p.||1st||viikash pub house||1998",a first course in Digital system Design,"Uyemura, J.P.",1st,VIikash Pub House,1998,621.3815 UYE,1
60,"a first course in digital system design||uyemura,b.||1st||vikash publication.||2000",A First course in digital system design,"Uyemura,B.",1st,Vikash publication.,2000,621.3815 UYE,1
61,"a first course in mathematical analysis||somasundaram, d||1st||narosa pub||1999",A First Course in Mathematical Analysis,"Somasundaram, D",1st,NAROSA PUB,1999,510.243 SOM R,1
62,"a first course in probability||ross, sheldon||6th||pearson||2003",A First Course in Probability,"Ross, Sheldon",6th,Pearson,2003,519.2 ROS,3
63,"a foundation course in human values and professional ethics||gaur, r. r.||1st ed.||excel books||2010",A foundation course in human values and professional ethics,"Gaur, R. R.",1st ed.,Excel Books,2010,174 GAU,1
64,a guide to econometrics||kennedy(peter)||5th||blackwell||2003,A Guide to Econometrics,KENNEDY(PETER),5th,BLACKWELL,2003,330.015195 KEN 1,1
65,"a guide to microsoft excel 2002||liengme, bernard v||3rd||butterworth heinemann||2002",A Guide to Microsoft Excel 2002,"Liengme, Bernard V",3rd,BUTTERWORTH HEINEMANN,2002,005.3684 LIE R,1
66,"a half- century of indian higher education||altbach, philip g.||1st ed.||sage publications||2012",A half- century of Indian higher education,"Altbach, Philip G.",1st ed.,Sage Publications,2012,378.54 ALT,1
67,"a handbook for english language laboratories||sureshkumar, e.||1st ed.||foundation book||2009",A handbook for english language laboratories,"Sureshkumar, E.",1st ed.,Foundation Book,2009,420 SUR,1
68,"a handbook on electronics engineering: ese, gate, psus & other competitive exams||made easy||1st ed.||made easy||2017","A handbook on electronics engineering: ESE, GATE, PSUs & other competitive exams",Made Easy,1st ed.,Made Easy,2017,621 MAD,4
69,"a handbook on mechanical engineering: ies, gate, psus & other competitive exams||made easy||1st ed.||made easy publications||2012","A handbook on mechanical engineering: IES, GATE, PSUs & other competitive exams",Made Easy,1st ed.,Made Easy publications,2012,621 MAD,19
70,"a lovesong for india: tales from east and west||jhabvala, ruth prawer||1st ed.||little, brown||2012",A lovesong for India: tales from east and west,"Jhabvala, Ruth Prawer",1st ed.,"Little, Brown",2012,823.914 JBA,1
71,"a modern introduction to probability and statistics: understanding why and how||dekking, f.m.||1st ed.||springer (india)||2005",A modern introduction to probability and statistics: understanding Why and How,"Dekking, F.M.",1st ed.,Springer (India),2005,519.2 DEK,1
72,"a primer in game theory||gibbons, robert||1st ed.||prentice-hall||2000",A Primer in Game Theory,"GIBBONS, ROBERT",1st ed.,PRENTICE-HALL,2000,519.3 GIB,1
73,a programmer's guide to java certification||mughal (k.a) and rasmussen (r.w)||2nd||pearson edu. asia||2004,A Programmer's Guide to Java Certification,MUGHAL (K.A) AND RASMUSSEN (R.W),2nd,PEARSON EDU. ASIA,2004,5.133 MUG R,2
74,a self-study guide for : digital signal processing||proakis (j.g) and ingle (v.k)||1st||pearson edu. asia||2004,A Self-Study Guide for : Digital Signal Processing,PROAKIS (J.G) AND INGLE (V.K),1st,PEARSON EDU. ASIA,2004,621.3822 PRO,5
75,"a simple manual on ego||chaitanya, sujata||1st ed.||central chinmaya mission trust||2011",A simple manual on ego,"Chaitanya, Sujata",1st ed.,Central Chinmaya mission trust,2011,154.32 CHA,1
76,"a student's guide to coding and information theory||moser, stefan m.||1st ed.||cambridge university press||2012",A student's guide to coding and information theory,"Moser, Stefan M.",1st ed.,Cambridge University Press,2012,003.54 MOS,1
77,"a student's guide to fourier transforms: with applications in physics and engineering||james, j.f.||3rd ed.||cambridge university press||2011",A student's guide to fourier transforms: with applications in physics and engineering,"James, J.F.",3rd ed.,Cambridge University Press,2011,515.723 JAM,1
78,"a student's guide to maxwell's equations||fleisch, daniel||1st ed.||cambridge university press||2010",A student's guide to Maxwell's equations,"Fleisch, Daniel",1st ed.,Cambridge University Press,2010,530.141 FLE,1
79,"a systems approach to automotive technology||erjavec, jack||1st ed.||cengage learning||2008",A Systems Approach to Automotive Technology,"Erjavec, Jack",1st ed.,Cengage Learning,2008,629.2 ERJ,1
80,a text book of electrical technical||theraja (b.l)||1st||s.chand and co. ltd.||2005,A Text book of Electrical Technical,THERAJA (B.L),1ST,S.CHAND AND CO. LTD.,2005,621.3 THE 1;34,2
81,"a text book of electrical technology vol. 2||theraja, b.l. and theraja, a.k.||1st||s. chand||2007",A text book of Electrical Technology Vol. 2,"Theraja, B.L. and Theraja, A.K.",1st,S. Chand,2007,621.3 THE,12
